FO_name;Subj_Name;Col_num;1;2;3
УФО;Челябинская область;3;538;474;23
УФО;Челябинская область;4;0;0;2
УФО;Ямало-Ненецкий автономный округ;3;8;8;0
УФО;Ямало-Ненецкий автономный округ;4;0;0;0
ЦФО;Белгородская область;3;32;32;32
ЦФО;Белгородская область;4;0;0;0
ЦФО;Брянская область;3;466;266;30
ЦФО;Брянская область;4;0;0;0
ЦФО;Владимирская область;3;50;0;0
ЦФО;Владимирская область;4;0;0;0
ЦФО;Воронежская область;3;148;78;0
ЦФО;Воронежская область;4;0;0;0
ЦФО;Ивановская область;3;0;0;0
ЦФО;Ивановская область;4;0;0;0
ЦФО;Калужская область;3;152;152;162
ЦФО;Калужская область;4;24;24;0
ЦФО;Костромская область;3;26;21;0
ЦФО;Костромская область;4;0;0;0
ЦФО;Курская область;3;196;186;72
ЦФО;Курская область;4;0;0;0
ЦФО;Липецкая область;3;17;17;80
ЦФО;Липецкая область;4;0;0;0
ЦФО;Москва;3;823;473;178
ЦФО;Москва;4;80;80;150
ЦФО;Московская область;3;1071;991;125
ЦФО;Московская область;4;80;80;0
ЦФО;Орловская область;3;0;0;0
ЦФО;Орловская область;4;0;0;0
ЦФО;Рязанская область;3;2;1;0
ЦФО;Рязанская область;4;0;0;0
ЦФО;Смоленская область;3;120;57;0
ЦФО;Смоленская область;4;0;0;0
ЦФО;Тамбовская область;3;0;0;80
ЦФО;Тамбовская область;4;0;0;0
ЦФО;Тверская область;3;50;50;0
ЦФО;Тверская область;4;0;0;0
ЦФО;Тульская область;3;50;50;50
ЦФО;Тульская область;4;0;0;0
ЦФО;Ярославская область;3;220;120;100
ЦФО;Ярославская область;4;0;0;0
ЮФО;Астраханская область;3;231;221;30
ЮФО;Астраханская область;4;0;0;60
ЮФО;Волгоградская область;3;64;44;130
ЮФО;Волгоградская область;4;0;0;0
ЮФО;Краснодарский край;3;605;461;54
ЮФО;Краснодарский край;4;108;78;0
ЮФО;Республика Адыгея;3;0;0;0
ЮФО;Республика Адыгея;4;0;0;0
ЮФО;Республика Калмыкия;3;20;20;0
ЮФО;Республика Калмыкия;4;0;0;0
ЮФО;Республика Крым;3;0;0;0
ЮФО;Республика Крым;4;0;0;0
ЮФО;Ростовская область;3;198;186;50
ЮФО;Ростовская область;4;0;0;0
ЮФО;Севастополь;3;0;0;0
ЮФО;Севастополь;4;0;0;0
